ď»żDataset;$\ell_p$;Source Model;Library;Attack Name;C1 ASR;C1 Optimality;C2 ASR;C2 Optimality;C3 ASR;C3 Optimality;C4 ASR;C4 Optimality;C5 ASR;C5 Optimality;C6  ASR;C6 Optimality;C7 ASR;C7 Optimality
cifar10;$\ell_2$;C1;Original;\hornetwrap{APGD};100.0;0.995;100.0;0.868;99.0;0.825;100.0;0.82;96.0;0.958;71.1;0.707;53.6;0.529
cifar10;$\ell_2$;C1;CleverHans;\hornetwrap{PGD};100.0;0.824;90.9;0.825;100.0;0.896;100.0;0.675;95.0;0.944;;;;
cifar10;$\ell_2$;C1;AdvLib;\hornetwrap{APGD};100.0;0.986;98.9;0.82;100.0;0.885;100.0;0.659;94.3;0.937;;;;
cifar10;$\ell_2$;C1;Foolbox;\hornetwrap{PGD};100.0;0.962;99.9;0.818;99.6;0.822;99.9;0.668;95.0;0.942;71.5;0.712;57.3;0.571
cifar10;$\ell_2$;C1;DeepRobust;\hornetwrap{FGM};98.2;0.455;85.4;0.752;98.3;0.774;91.7;0.597;97.1;0.941;45.3;0.397;48.4;0.45
cifar10;$\ell_2$;C1;Foolbox;\hornetwrap{BIM};98.1;0.47;78.3;0.698;96.9;0.738;82.7;0.55;95.7;0.92;45.3;0.398;48.9;0.452
cifar10;$\ell_2$;C1;Foolbox;\hornetwrap{FGM};98.1;0.47;78.3;0.698;96.9;0.738;82.7;0.55;95.7;0.92;;;;
cifar10;$\ell_2$;C1;ART;\hornetwrap{FGM};96.5;0.471;73.1;0.668;93.4;0.722;74.8;0.538;90.1;0.87;;;;
cifar10;$\ell_2$;C1;CleverHans;\hornetwrap{FGM};91.4;0.47;63.0;0.584;85.2;0.678;65.4;0.484;78.4;0.764;;;;
cifar10;$\ell_2$;C1;ART;\hornetwrap{BIM};100.0;0.823;33.5;0.401;89.6;0.802;36.9;0.403;48.1;0.503;;;;
cifar10;$\ell_2$;C1;ART;\hornetwrap{PGD};100.0;0.822;18.6;0.24;77.6;0.738;24.1;0.262;24.6;0.266;;;;
cifar10;$\ell_2$;C1;Torchattacks;\hornetwrap{PGD};100.0;0.0;5.1;0.073;17.1;0.194;25.0;0.299;1.6;0.018;;;;
cifar10;$\ell_2$;C1;DeepRobust;\hornetwrap{PGD};12.9;0.15;0.1;0.001;0.4;0.004;1.9;0.0;0.1;0.001;;;;
cifar10;$\ell_2$;C2;CleverHans;\hornetwrap{PGD};100.0;0.92;100.0;0.866;100.0;0.906;99.2;0.842;93.0;0.935;;;;
cifar10;$\ell_2$;C2;AdvLib;\hornetwrap{APGD};99.7;0.795;100.0;0.82;100.0;0.816;99.8;0.881;96.3;0.881;;;;
cifar10;$\ell_2$;C2;Foolbox;\hornetwrap{PGD};97.7;0.917;100.0;0.934;100.0;0.872;67.2;0.679;65.8;0.698;68.0;0.742;55.7;0.635
cifar10;$\ell_2$;C2;Original;\hornetwrap{APGD};85.6;0.76;100.0;0.958;99.9;0.866;74.0;0.707;63.0;0.633;55.9;0.593;53.7;0.612
cifar10;$\ell_2$;C2;DeepRobust;\hornetwrap{FGM};32.5;0.317;72.5;0.538;87.6;0.628;39.0;0.38;12.0;0.131;15.9;0.104;14.6;0.109
cifar10;$\ell_2$;C2;ART;\hornetwrap{BIM};17.4;0.184;87.1;0.851;83.8;0.792;20.5;0.182;6.3;0.071;;;;
cifar10;$\ell_2$;C2;Foolbox;\hornetwrap{BIM};13.2;0.141;68.5;0.609;81.3;0.733;29.1;0.281;4.7;0.054;6.2;0.0;5.3;0.0
cifar10;$\ell_2$;C2;Foolbox;\hornetwrap{FGM};13.2;0.141;68.5;0.609;81.3;0.733;29.1;0.28;4.7;0.054;;;;
cifar10;$\ell_2$;C2;CleverHans;\hornetwrap{FGM};13.2;0.141;68.5;0.609;81.3;0.733;29.0;0.28;4.7;0.054;;;;
cifar10;$\ell_2$;C2;ART;\hornetwrap{FGM};13.2;0.141;68.5;0.609;81.3;0.733;29.0;0.28;4.7;0.054;;;;
cifar10;$\ell_2$;C2;ART;\hornetwrap{PGD};13.3;0.144;84.3;0.828;81.5;0.776;18.1;0.155;5.0;0.057;;;;
cifar10;$\ell_2$;C2;Torchattacks;\hornetwrap{PGD};4.9;0.056;69.3;0.647;77.7;0.756;23.8;0.225;1.5;0.018;;;;
cifar10;$\ell_2$;C2;DeepRobust;\hornetwrap{PGD};0.1;0.001;40.9;0.46;3.1;0.033;2.9;0.0;0.0;0.0;;;;
cifar10;$\ell_2$;C3;DeepRobust;\hornetwrap{FGM};94.9;0.886;80.8;0.788;99.9;0.263;91.1;0.745;92.1;0.903;;;;
cifar10;$\ell_2$;C3;CleverHans;\hornetwrap{PGD};100.0;0.86;89.2;0.815;100.0;0.444;99.6;0.641;93.1;0.931;;;;
cifar10;$\ell_2$;C3;Original;\hornetwrap{APGD};100.0;0.716;98.9;0.772;100.0;0.992;100.0;0.66;95.8;0.894;;;;
cifar10;$\ell_2$;C3;Foolbox;\hornetwrap{BIM};92.1;0.812;71.9;0.723;99.9;0.292;78.6;0.678;82.4;0.812;;;;
cifar10;$\ell_2$;C3;Foolbox;\hornetwrap{FGM};92.1;0.812;71.9;0.723;99.9;0.292;78.6;0.678;82.4;0.812;;;;
cifar10;$\ell_2$;C3;CleverHans;\hornetwrap{FGM};92.0;0.811;71.8;0.723;99.9;0.292;78.4;0.677;82.3;0.811;;;;
cifar10;$\ell_2$;C3;ART;\hornetwrap{FGM};92.1;0.812;71.8;0.723;99.9;0.292;78.3;0.675;82.3;0.811;;;;
cifar10;$\ell_2$;C3;AdvLib;\hornetwrap{APGD};100.0;0.669;99.7;0.804;100.0;0.974;100.0;0.595;93.8;0.862;;;;
cifar10;$\ell_2$;C3;Foolbox;\hornetwrap{PGD};100.0;0.625;98.9;0.786;100.0;0.948;99.8;0.571;94.5;0.866;;;;
cifar10;$\ell_2$;C3;ART;\hornetwrap{BIM};76.6;0.671;55.8;0.598;100.0;0.443;43.8;0.424;47.0;0.475;;;;
cifar10;$\ell_2$;C3;ART;\hornetwrap{PGD};49.7;0.467;32.2;0.383;100.0;0.445;24.6;0.26;19.7;0.21;;;;
cifar10;$\ell_2$;C3;Torchattacks;\hornetwrap{PGD};8.4;0.096;7.4;0.102;100.0;0.0;24.7;0.302;0.9;0.011;;;;
cifar10;$\ell_2$;C3;DeepRobust;\hornetwrap{PGD};0.3;0.004;0.3;0.004;82.8;0.54;10.2;0.086;0.0;0.001;;;;
cifar10;$\ell_2$;C4;CleverHans;\hornetwrap{PGD};100.0;0.886;99.9;0.803;100.0;0.855;100.0;0.561;95.9;0.847;;;;
cifar10;$\ell_2$;C4;Original;\hornetwrap{APGD};100.0;0.815;100.0;0.822;100.0;0.816;100.0;0.948;100.0;0.846;;;;
cifar10;$\ell_2$;C4;AdvLib;\hornetwrap{APGD};100.0;0.837;99.8;0.784;100.0;0.848;100.0;0.973;96.5;0.794;;;;
cifar10;$\ell_2$;C4;Foolbox;\hornetwrap{PGD};100.0;0.787;100.0;0.817;100.0;0.773;100.0;0.544;100.0;0.798;;;;
cifar10;$\ell_2$;C4;ART;\hornetwrap{BIM};85.6;0.731;79.1;0.769;95.4;0.741;95.6;0.577;83.1;0.774;;;;
cifar10;$\ell_2$;C4;ART;\hornetwrap{PGD};69.1;0.648;66.6;0.686;89.7;0.745;92.0;0.578;65.0;0.671;;;;
cifar10;$\ell_2$;C4;DeepRobust;\hornetwrap{FGM};83.9;0.594;75.2;0.617;98.0;0.814;91.3;0.316;74.8;0.464;;;;
cifar10;$\ell_2$;C4;Foolbox;\hornetwrap{FGM};74.8;0.59;67.2;0.608;91.5;0.688;87.8;0.364;63.7;0.482;;;;
cifar10;$\ell_2$;C4;Foolbox;\hornetwrap{BIM};74.8;0.59;67.2;0.608;91.5;0.688;87.8;0.364;63.7;0.482;;;;
cifar10;$\ell_2$;C4;ART;\hornetwrap{FGM};72.0;0.575;63.4;0.583;88.9;0.677;83.9;0.363;61.0;0.472;;;;
cifar10;$\ell_2$;C4;CleverHans;\hornetwrap{FGM};69.8;0.56;60.2;0.554;86.0;0.66;80.4;0.362;59.4;0.463;;;;
cifar10;$\ell_2$;C4;Torchattacks;\hornetwrap{PGD};2.3;0.029;9.4;0.114;13.2;0.144;32.5;0.291;1.4;0.02;;;;
cifar10;$\ell_2$;C4;DeepRobust;\hornetwrap{PGD};0.1;0.001;1.0;0.012;0.3;0.003;29.7;0.295;0.1;0.001;;;;
cifar10;$\ell_2$;C5;CleverHans;\hornetwrap{PGD};100.0;0.939;100.0;0.938;100.0;0.922;100.0;0.897;100.0;0.974;;;;
cifar10;$\ell_2$;C5;Original;\hornetwrap{APGD};100.0;0.925;99.9;0.923;100.0;0.905;100.0;0.9;100.0;0.987;;;;
cifar10;$\ell_2$;C5;Foolbox;\hornetwrap{PGD};100.0;0.933;99.6;0.906;100.0;0.917;100.0;0.888;100.0;0.972;;;;
cifar10;$\ell_2$;C5;ART;\hornetwrap{BIM};99.9;0.924;89.8;0.868;99.8;0.914;99.9;0.917;100.0;0.978;;;;
cifar10;$\ell_2$;C5;ART;\hornetwrap{PGD};99.8;0.926;85.6;0.845;99.5;0.915;99.7;0.919;100.0;0.974;;;;
cifar10;$\ell_2$;C5;AdvLib;\hornetwrap{APGD};100.0;0.92;100.0;0.795;100.0;0.905;100.0;0.774;100.0;0.984;;;;
cifar10;$\ell_2$;C5;Foolbox;\hornetwrap{BIM};79.5;0.457;76.8;0.688;94.1;0.727;92.1;0.67;79.1;0.418;;;;
cifar10;$\ell_2$;C5;CleverHans;\hornetwrap{FGM};79.5;0.457;76.8;0.688;94.1;0.727;92.2;0.67;79.1;0.418;;;;
cifar10;$\ell_2$;C5;Foolbox;\hornetwrap{FGM};79.5;0.457;76.8;0.688;94.1;0.727;92.1;0.67;79.1;0.418;;;;
cifar10;$\ell_2$;C5;ART;\hornetwrap{FGM};79.5;0.457;76.8;0.688;94.1;0.727;92.2;0.67;79.1;0.418;;;;
cifar10;$\ell_2$;C5;DeepRobust;\hornetwrap{FGM};85.6;0.472;81.9;0.685;96.5;0.732;95.1;0.647;83.1;0.409;;;;
cifar10;$\ell_2$;C5;Torchattacks;\hornetwrap{PGD};34.2;0.367;11.2;0.126;45.2;0.468;34.4;0.339;60.7;0.581;;;;
cifar10;$\ell_2$;C5;DeepRobust;\hornetwrap{PGD};11.2;0.126;6.3;0.072;20.5;0.223;21.7;0.203;55.5;0.587;;;;
cifar10;$\ell_2$;E;CleverHans;\hornetwrap{PGD};100.0;0.922;100.0;0.92;100.0;0.916;100.0;0.9;97.0;0.873;;;;
cifar10;$\ell_2$;E;Original;\hornetwrap{APGD};100.0;0.904;100.0;0.913;100.0;0.881;100.0;0.906;100.0;0.923;83.6;0.84;78.5;0.799
cifar10;$\ell_2$;E;Foolbox;\hornetwrap{PGD};100.0;0.91;100.0;0.901;100.0;0.876;100.0;0.894;100.0;0.905;90.5;0.912;80.6;0.82
cifar10;$\ell_2$;E;ART;\hornetwrap{BIM};100.0;0.904;95.5;0.902;100.0;0.885;100.0;0.921;88.5;0.815;;;;
cifar10;$\ell_2$;E;ART;\hornetwrap{PGD};99.9;0.905;91.1;0.884;100.0;0.885;99.7;0.922;68.9;0.692;;;;
cifar10;$\ell_2$;E;AdvLib;\hornetwrap{APGD};100.0;0.895;100.0;0.812;100.0;0.872;100.0;0.799;98.4;0.861;;;;
cifar10;$\ell_2$;E;DeepRobust;\hornetwrap{FGM};99.6;0.635;93.7;0.76;100.0;0.759;99.4;0.7;98.8;0.801;52.7;0.533;55.0;0.558
cifar10;$\ell_2$;E;Foolbox;\hornetwrap{FGM};98.2;0.549;91.1;0.767;100.0;0.795;97.7;0.713;98.1;0.775;;;;
cifar10;$\ell_2$;E;Foolbox;\hornetwrap{BIM};98.2;0.549;91.1;0.767;100.0;0.795;97.7;0.713;98.1;0.775;47.7;0.483;50.5;0.511
cifar10;$\ell_2$;E;ART;\hornetwrap{FGM};98.0;0.549;90.3;0.764;100.0;0.795;97.3;0.714;97.2;0.766;;;;
cifar10;$\ell_2$;E;CleverHans;\hornetwrap{FGM};97.9;0.548;89.9;0.76;99.9;0.795;97.1;0.714;95.5;0.748;;;;
cifar10;$\ell_2$;E;Torchattacks;\hornetwrap{PGD};35.5;0.384;18.3;0.208;82.5;0.762;40.3;0.405;2.7;0.037;;;;
cifar10;$\ell_2$;E;DeepRobust;\hornetwrap{PGD};11.4;0.131;6.9;0.081;22.7;0.23;24.5;0.238;0.2;0.002;;;;
cifar10;$\ell_1$;C1;Original;\hornetwrap{APGD};100.0;0.991;100.0;0.912;100.0;0.983;100.0;0.844;94.8;0.955;67.6;0.663;53.6;0.526
cifar10;$\ell_1$;C1;AdvLib;\hornetwrap{APGD};100.0;0.975;94.1;0.88;100.0;0.985;100.0;0.806;94.3;0.958;;;;
cifar10;$\ell_1$;C1;Foolbox;\hornetwrap{BIM};100.0;0.396;96.2;0.813;99.7;0.675;98.5;0.697;94.4;0.915;70.5;0.692;56.5;0.556
cifar10;$\ell_1$;C1;Foolbox;\hornetwrap{PGD};100.0;0.396;95.6;0.812;99.7;0.667;98.3;0.689;94.3;0.913;70.8;0.697;57.4;0.568
cifar10;$\ell_1$;C1;Foolbox;\hornetwrap{FGM};98.3;0.312;83.0;0.734;97.8;0.635;89.0;0.615;97.1;0.934;44.7;0.395;46.9;0.438
cifar10;$\ell_1$;C1;ART;\hornetwrap{FGM};98.3;0.312;83.1;0.733;97.7;0.633;88.7;0.61;97.1;0.933;;;;
cifar10;$\ell_1$;C1;ART;\hornetwrap{BIM};100.0;0.584;9.2;0.117;45.3;0.387;19.9;0.267;8.4;0.09;;;;
cifar10;$\ell_1$;C1;ART;\hornetwrap{PGD};100.0;0.581;5.4;0.07;27.6;0.252;17.8;0.242;3.6;0.039;;;;
cifar10;$\ell_1$;C1;CleverHans;\hornetwrap{FGM};2.6;0.029;0.2;0.003;3.1;0.031;4.7;0.066;0.3;0.004;;;;
cifar10;$\ell_1$;C2;Original;\hornetwrap{APGD};100.0;0.93;100.0;0.978;100.0;0.949;100.0;0.941;100.0;0.965;70.3;0.753;55.1;0.655
cifar10;$\ell_1$;C2;AdvLib;\hornetwrap{APGD};100.0;0.942;100.0;0.849;100.0;0.932;100.0;0.897;99.6;0.936;;;;
cifar10;$\ell_1$;C2;Foolbox;\hornetwrap{PGD};53.8;0.565;97.9;0.804;99.4;0.972;52.9;0.566;22.7;0.255;44.1;0.438;32.8;0.353
cifar10;$\ell_1$;C2;Foolbox;\hornetwrap{BIM};29.2;0.309;85.2;0.735;95.0;0.934;41.2;0.444;11.5;0.13;33.0;0.304;26.3;0.268
cifar10;$\ell_1$;C2;Foolbox;\hornetwrap{FGM};23.2;0.245;81.7;0.67;92.4;0.91;37.7;0.406;8.3;0.094;22.5;0.181;17.3;0.147
cifar10;$\ell_1$;C2;ART;\hornetwrap{FGM};23.2;0.245;81.7;0.67;92.4;0.91;37.7;0.406;8.3;0.094;;;;
cifar10;$\ell_1$;C2;ART;\hornetwrap{BIM};26.6;0.279;94.0;0.885;89.9;0.889;25.4;0.273;9.4;0.105;;;;
cifar10;$\ell_1$;C2;ART;\hornetwrap{PGD};22.3;0.236;91.5;0.862;88.1;0.873;23.3;0.252;7.4;0.084;;;;
cifar10;$\ell_1$;C2;CleverHans;\hornetwrap{FGM};0.5;0.005;9.8;0.104;1.5;0.015;5.4;0.06;0.2;0.002;;;;
cifar10;$\ell_1$;C3;Original;\hornetwrap{APGD};100.0;0.825;97.2;0.934;100.0;0.99;100.0;0.869;96.3;0.958;;;;
cifar10;$\ell_1$;C3;AdvLib;\hornetwrap{APGD};100.0;0.863;97.8;0.926;100.0;0.883;100.0;0.775;93.8;0.937;;;;
cifar10;$\ell_1$;C3;Foolbox;\hornetwrap{FGM};96.4;0.846;79.8;0.786;100.0;0.2;90.2;0.749;93.2;0.913;;;;
cifar10;$\ell_1$;C3;ART;\hornetwrap{FGM};96.4;0.846;79.8;0.786;100.0;0.2;90.2;0.749;93.2;0.913;;;;
cifar10;$\ell_1$;C3;Foolbox;\hornetwrap{PGD};99.0;0.517;96.5;0.9;100.0;0.316;97.5;0.544;94.7;0.869;;;;
cifar10;$\ell_1$;C3;Foolbox;\hornetwrap{BIM};98.9;0.517;94.6;0.888;100.0;0.323;97.6;0.544;94.9;0.872;;;;
cifar10;$\ell_1$;C3;ART;\hornetwrap{BIM};26.3;0.279;12.0;0.13;100.0;0.447;19.7;0.254;4.5;0.05;;;;
cifar10;$\ell_1$;C3;ART;\hornetwrap{PGD};10.0;0.111;6.3;0.068;100.0;0.445;16.0;0.21;1.5;0.016;;;;
cifar10;$\ell_1$;C3;CleverHans;\hornetwrap{FGM};1.4;0.016;0.1;0.001;3.7;0.042;4.8;0.065;0.2;0.002;;;;
cifar10;$\ell_1$;C4;Original;\hornetwrap{APGD};100.0;0.924;100.0;0.926;100.0;0.881;100.0;0.986;100.0;0.916;;;;
cifar10;$\ell_1$;C4;AdvLib;\hornetwrap{APGD};100.0;0.93;98.2;0.855;100.0;0.927;100.0;0.939;95.1;0.866;;;;
cifar10;$\ell_1$;C4;Foolbox;\hornetwrap{PGD};99.8;0.825;95.6;0.817;100.0;0.759;100.0;0.621;99.8;0.751;;;;
cifar10;$\ell_1$;C4;Foolbox;\hornetwrap{BIM};99.8;0.819;96.0;0.815;100.0;0.758;100.0;0.606;99.3;0.731;;;;
cifar10;$\ell_1$;C4;ART;\hornetwrap{BIM};69.1;0.644;68.5;0.685;90.6;0.724;93.9;0.702;64.3;0.629;;;;
cifar10;$\ell_1$;C4;Foolbox;\hornetwrap{FGM};84.3;0.661;76.3;0.682;96.6;0.669;92.7;0.5;77.3;0.513;;;;
cifar10;$\ell_1$;C4;ART;\hornetwrap{FGM};84.1;0.659;76.1;0.681;96.6;0.667;92.4;0.499;77.0;0.511;;;;
cifar10;$\ell_1$;C4;ART;\hornetwrap{PGD};32.9;0.33;48.8;0.504;74.6;0.658;80.2;0.648;29.8;0.321;;;;
cifar10;$\ell_1$;C4;CleverHans;\hornetwrap{FGM};0.5;0.006;0.2;0.002;1.4;0.016;6.2;0.067;0.3;0.004;;;;
cifar10;$\ell_1$;C5;Original;\hornetwrap{APGD};100.0;0.959;99.9;0.972;100.0;0.949;100.0;0.944;100.0;0.982;;;;
cifar10;$\ell_1$;C5;AdvLib;\hornetwrap{APGD};100.0;0.924;99.9;0.883;100.0;0.947;100.0;0.803;100.0;0.982;;;;
cifar10;$\ell_1$;C5;ART;\hornetwrap{BIM};99.9;0.811;86.5;0.829;99.7;0.783;99.8;0.941;100.0;0.713;;;;
cifar10;$\ell_1$;C5;ART;\hornetwrap{PGD};99.5;0.808;76.9;0.755;99.2;0.783;98.4;0.934;99.9;0.693;;;;
cifar10;$\ell_1$;C5;Foolbox;\hornetwrap{PGD};100.0;0.729;96.8;0.821;100.0;0.804;100.0;0.884;100.0;0.496;;;;
cifar10;$\ell_1$;C5;Foolbox;\hornetwrap{BIM};100.0;0.715;97.1;0.827;100.0;0.8;99.9;0.879;100.0;0.469;;;;
cifar10;$\ell_1$;C5;ART;\hornetwrap{FGM};86.8;0.388;86.8;0.76;96.8;0.614;95.9;0.763;84.2;0.27;;;;
cifar10;$\ell_1$;C5;Foolbox;\hornetwrap{FGM};86.8;0.388;86.8;0.76;96.8;0.614;96.0;0.763;84.2;0.27;;;;
cifar10;$\ell_1$;C5;CleverHans;\hornetwrap{FGM};1.4;0.016;0.7;0.007;2.4;0.027;5.9;0.063;1.4;0.016;;;;
cifar10;$\ell_1$;E;Original;\hornetwrap{APGD};100.0;0.961;100.0;0.964;100.0;0.976;100.0;0.947;100.0;0.967;86.0;0.862;78.9;0.803
cifar10;$\ell_1$;E;AdvLib;\hornetwrap{APGD};100.0;0.926;100.0;0.855;100.0;0.96;100.0;0.85;99.8;0.918;;;;
cifar10;$\ell_1$;E;Foolbox;\hornetwrap{PGD};100.0;0.775;99.7;0.785;100.0;0.937;100.0;0.883;99.9;0.809;83.7;0.845;71.3;0.727
cifar10;$\ell_1$;E;ART;\hornetwrap{BIM};100.0;0.827;91.6;0.847;100.0;0.927;99.8;0.924;65.8;0.625;;;;
cifar10;$\ell_1$;E;Foolbox;\hornetwrap{BIM};100.0;0.741;99.9;0.782;100.0;0.929;100.0;0.87;99.5;0.778;81.2;0.819;67.4;0.69
cifar10;$\ell_1$;E;ART;\hornetwrap{PGD};99.7;0.821;83.1;0.795;99.9;0.924;98.5;0.919;32.0;0.336;;;;
cifar10;$\ell_1$;E;Foolbox;\hornetwrap{FGM};99.6;0.514;93.9;0.758;100.0;0.909;99.1;0.774;98.7;0.749;56.0;0.569;55.2;0.564
