ď»żDataset;$\ell_p$;Source Model;Library;Attack Name;C1 ASR;C1 Optimality;C2 ASR;C2 Optimality;C3 ASR;C3 Optimality;C4 ASR;C4 Optimality;C5 ASR;C5 Optimality;C6  ASR;C6 Optimality;C7 ASR;C7 Optimality
cifar10;$\ell_1$;E;ART;\hornetwrap{FGM};99.6;0.514;93.8;0.758;100.0;0.909;99.2;0.775;98.7;0.748;;;;
cifar10;$\ell_1$;E;CleverHans;\hornetwrap{FGM};2.8;0.031;1.1;0.012;5.6;0.058;11.9;0.129;0.8;0.009;;;;
cifar10;$\ell_0$;C1;Original;\hornetwrap{PGD$_0$};100.0;1.0;95.7;1.0;99.4;1.0;100.0;1.0;90.6;1.0;74.5;1.0;61.0;1.0
cifar10;$\ell_0$;C2;Original;\hornetwrap{PGD$_0$};99.9;1.0;100.0;1.0;100.0;1.0;99.0;1.0;90.6;1.0;74.6;1.0;58.0;1.0
cifar10;$\ell_0$;C3;Original;\hornetwrap{PGD$_0$};100.0;1.0;93.2;1.0;100.0;1.0;99.9;1.0;91.3;1.0;;;;
cifar10;$\ell_0$;C4;Original;\hornetwrap{PGD$_0$};100.0;1.0;100.0;1.0;100.0;1.0;100.0;1.0;100.0;1.0;;;;
cifar10;$\ell_0$;C5;Original;\hornetwrap{PGD$_0$};100.0;1.0;99.2;1.0;100.0;1.0;100.0;1.0;100.0;1.0;;;;
cifar10;$\ell_0$;E;Original;\hornetwrap{PGD$_0$};100.0;1.0;100.0;1.0;100.0;1.0;100.0;1.0;100.0;1.0;93.3;1.0;82.3;1.0
cifar10;$\ell_\infty$;C1;CleverHans;\hornetwrap{PGD};100.0;0.731;93.5;0.914;99.9;0.934;97.8;0.822;93.5;0.963;69.5;0.67;53.5;0.51
cifar10;$\ell_\infty$;C1;ART;\hornetwrap{FGM};99.8;0.573;87.6;0.876;99.8;0.908;94.8;0.753;94.7;0.971;45.6;0.397;47.9;0.434
cifar10;$\ell_\infty$;C1;CleverHans;\hornetwrap{FGM};99.8;0.573;87.6;0.876;99.8;0.908;94.8;0.753;94.7;0.971;;;;
cifar10;$\ell_\infty$;C1;DeepRobust;\hornetwrap{FGM};99.8;0.573;87.6;0.876;99.8;0.908;94.8;0.753;94.7;0.971;;;;
cifar10;$\ell_\infty$;C1;Foolbox;\hornetwrap{FGM};99.8;0.573;87.6;0.876;99.8;0.908;94.8;0.753;94.7;0.971;;;;
cifar10;$\ell_\infty$;C1;Torchattacks;\hornetwrap{FGSM};99.8;0.573;87.6;0.876;99.8;0.908;94.8;0.753;94.7;0.971;;;;
cifar10;$\ell_\infty$;C1;Original;\hornetwrap{APGD};100.0;0.997;98.8;0.83;100.0;0.938;99.7;0.733;93.9;0.882;70.2;0.683;53.9;0.519
cifar10;$\ell_\infty$;C1;Torchattacks;\hornetwrap{APGD};100.0;0.997;98.8;0.829;100.0;0.937;99.7;0.733;94.0;0.882;;;;
cifar10;$\ell_\infty$;C1;ART;\hornetwrap{BIM};100.0;0.727;90.0;0.817;99.9;0.931;96.6;0.727;94.2;0.903;65.0;0.621;52.4;0.498
cifar10;$\ell_\infty$;C1;ART;\hornetwrap{PGD};100.0;0.726;86.7;0.8;99.9;0.93;91.5;0.684;94.2;0.903;58.0;0.546;52.7;0.502
cifar10;$\ell_\infty$;C1;AdvLib;\hornetwrap{APGD};100.0;0.987;96.4;0.82;100.0;0.921;98.1;0.679;93.2;0.888;;;;
cifar10;$\ell_\infty$;C1;AdvLib;\hornetwrap{PGD};100.0;0.978;93.5;0.731;100.0;0.943;97.8;0.553;94.1;0.846;;;;
cifar10;$\ell_\infty$;C1;Foolbox;\hornetwrap{PGD};100.0;0.87;92.6;0.714;100.0;0.947;96.4;0.487;94.0;0.831;;;;
cifar10;$\ell_\infty$;C1;DeepRobust;\hornetwrap{PGD};100.0;0.859;91.0;0.718;100.0;0.93;95.3;0.489;93.9;0.834;;;;
cifar10;$\ell_\infty$;C1;Torchattacks;\hornetwrap{PGD};100.0;0.89;89.8;0.717;100.0;0.934;94.6;0.481;93.8;0.83;;;;
cifar10;$\ell_\infty$;C1;Foolbox;\hornetwrap{BIM};100.0;0.938;90.9;0.694;99.9;0.87;95.4;0.512;94.7;0.831;;;;
cifar10;$\ell_\infty$;C1;Original;\hornetwrap{FGSM$_ga-tdmi$};100.0;0.0;70.7;0.634;91.8;0.526;88.2;0.599;90.7;0.852;;;;
cifar10;$\ell_\infty$;C1;Original;\hornetwrap{FGSM$_ga-dmi$};100.0;0.0;70.0;0.611;89.7;0.514;85.4;0.559;90.2;0.824;;;;
cifar10;$\ell_\infty$;C1;Original;\hornetwrap{FGSM_ga};100.0;0.0;5.8;0.07;40.5;0.402;16.7;0.161;5.5;0.063;;;;
cifar10;$\ell_\infty$;C2;CleverHans;\hornetwrap{PGD};99.3;0.846;99.0;0.875;100.0;0.952;99.8;0.831;99.9;0.899;74.3;0.691;63.0;0.585
cifar10;$\ell_\infty$;C2;ART;\hornetwrap{BIM};99.4;0.798;99.9;0.938;99.9;0.929;99.9;0.845;99.3;0.879;59.9;0.544;52.6;0.477
cifar10;$\ell_\infty$;C2;ART;\hornetwrap{PGD};99.4;0.798;99.9;0.937;99.9;0.929;99.8;0.84;99.3;0.876;59.2;0.537;51.2;0.464
cifar10;$\ell_\infty$;C2;Torchattacks;\hornetwrap{APGD};99.7;0.797;100.0;0.988;100.0;0.802;100.0;0.836;100.0;0.876;;;;
cifar10;$\ell_\infty$;C2;Original;\hornetwrap{APGD};99.7;0.797;100.0;0.988;100.0;0.802;100.0;0.836;100.0;0.876;68.9;0.659;51.7;0.483
cifar10;$\ell_\infty$;C2;DeepRobust;\hornetwrap{PGD};99.8;0.815;100.0;0.943;100.0;0.948;99.3;0.725;95.5;0.777;;;;
cifar10;$\ell_\infty$;C2;Foolbox;\hornetwrap{PGD};99.8;0.821;100.0;0.908;100.0;0.958;99.8;0.693;99.3;0.756;;;;
cifar10;$\ell_\infty$;C2;AdvLib;\hornetwrap{PGD};99.9;0.802;100.0;0.958;99.9;0.785;99.9;0.772;99.7;0.848;;;;
cifar10;$\ell_\infty$;C2;Torchattacks;\hornetwrap{PGD};99.6;0.814;99.9;0.926;100.0;0.952;98.5;0.681;94.8;0.75;;;;
cifar10;$\ell_\infty$;C2;ART;\hornetwrap{FGM};91.5;0.698;97.3;0.848;99.3;0.907;97.4;0.755;92.7;0.783;46.4;0.39;46.8;0.412
cifar10;$\ell_\infty$;C2;CleverHans;\hornetwrap{FGM};91.5;0.698;97.3;0.848;99.3;0.907;97.4;0.755;92.7;0.783;;;;
cifar10;$\ell_\infty$;C2;DeepRobust;\hornetwrap{FGM};91.5;0.698;97.3;0.848;99.3;0.907;97.4;0.755;92.7;0.783;;;;
cifar10;$\ell_\infty$;C2;Foolbox;\hornetwrap{FGM};91.5;0.698;97.3;0.848;99.3;0.907;97.4;0.755;92.7;0.783;;;;
cifar10;$\ell_\infty$;C2;Torchattacks;\hornetwrap{FGSM};91.5;0.698;97.3;0.848;99.3;0.907;97.4;0.755;92.7;0.783;;;;
cifar10;$\ell_\infty$;C2;Foolbox;\hornetwrap{BIM};99.5;0.671;99.9;0.93;99.9;0.912;99.9;0.76;99.7;0.736;;;;
cifar10;$\ell_\infty$;C2;AdvLib;\hornetwrap{APGD};99.9;0.757;100.0;0.926;100.0;0.765;99.8;0.697;99.8;0.759;;;;
cifar10;$\ell_\infty$;C2;Original;\hornetwrap{FGSM$_ga-dmi$};98.7;0.574;96.1;0.837;70.3;0.38;99.8;0.716;96.9;0.725;;;;
cifar10;$\ell_\infty$;C2;Original;\hornetwrap{FGSM$_ga-tdmi$};99.2;0.318;95.5;0.824;73.2;0.063;99.8;0.616;97.2;0.801;;;;
cifar10;$\ell_\infty$;C2;Original;\hornetwrap{FGSM_ga};10.6;0.123;31.8;0.339;11.4;0.108;29.1;0.285;4.5;0.061;;;;
cifar10;$\ell_\infty$;C3;ART;\hornetwrap{FGM};97.3;0.93;88.8;0.887;100.0;0.634;96.4;0.829;95.0;0.987;45.5;0.41;48.3;0.456
cifar10;$\ell_\infty$;C3;CleverHans;\hornetwrap{FGM};97.3;0.93;88.8;0.887;100.0;0.634;96.4;0.829;95.0;0.987;;;;
cifar10;$\ell_\infty$;C3;DeepRobust;\hornetwrap{FGM};97.3;0.93;88.8;0.887;100.0;0.634;96.4;0.829;95.0;0.987;;;;
cifar10;$\ell_\infty$;C3;Foolbox;\hornetwrap{FGM};97.3;0.93;88.8;0.887;100.0;0.634;96.4;0.829;95.0;0.987;;;;
cifar10;$\ell_\infty$;C3;Torchattacks;\hornetwrap{FGSM};97.3;0.93;88.8;0.887;100.0;0.634;96.4;0.829;95.0;0.987;;;;
cifar10;$\ell_\infty$;C3;CleverHans;\hornetwrap{PGD};95.6;0.827;93.1;0.895;100.0;0.825;98.3;0.685;93.7;0.936;64.1;0.617;49.8;0.476
cifar10;$\ell_\infty$;C3;Torchattacks;\hornetwrap{APGD};98.1;0.787;96.6;0.859;100.0;0.995;99.5;0.769;93.7;0.899;;;;
cifar10;$\ell_\infty$;C3;Original;\hornetwrap{APGD};98.0;0.786;96.7;0.859;100.0;0.995;99.5;0.768;93.7;0.899;67.7;0.657;53.6;0.52
cifar10;$\ell_\infty$;C3;ART;\hornetwrap{BIM};95.4;0.777;89.4;0.836;100.0;0.829;97.5;0.723;93.8;0.89;62.6;0.601;52.0;0.498
cifar10;$\ell_\infty$;C3;ART;\hornetwrap{PGD};95.5;0.764;87.5;0.827;100.0;0.828;94.3;0.67;93.7;0.885;55.6;0.521;50.2;0.48
cifar10;$\ell_\infty$;C3;AdvLib;\hornetwrap{APGD};99.5;0.704;96.2;0.81;100.0;0.982;99.0;0.656;93.6;0.859;;;;
cifar10;$\ell_\infty$;C3;AdvLib;\hornetwrap{PGD};99.5;0.77;91.8;0.748;100.0;0.979;97.0;0.616;92.9;0.849;;;;
cifar10;$\ell_\infty$;C3;Original;\hornetwrap{FGSM$_ga-dmi$};97.4;0.75;73.4;0.661;100.0;0.0;91.7;0.707;90.6;0.855;;;;
cifar10;$\ell_\infty$;C3;Foolbox;\hornetwrap{PGD};99.5;0.763;90.3;0.722;100.0;0.902;94.2;0.547;92.8;0.836;;;;
cifar10;$\ell_\infty$;C3;DeepRobust;\hornetwrap{PGD};99.4;0.76;88.0;0.726;100.0;0.827;93.6;0.543;92.9;0.838;;;;
cifar10;$\ell_\infty$;C3;Torchattacks;\hornetwrap{PGD};99.5;0.759;87.8;0.723;100.0;0.826;93.4;0.537;93.0;0.837;;;;
cifar10;$\ell_\infty$;C3;Original;\hornetwrap{FGSM$_ga-tdmi$};98.0;0.539;73.1;0.663;100.0;0.0;92.9;0.721;91.0;0.865;;;;
cifar10;$\ell_\infty$;C3;Foolbox;\hornetwrap{BIM};98.4;0.675;91.2;0.733;100.0;0.957;96.2;0.541;94.1;0.803;;;;
cifar10;$\ell_\infty$;C3;Original;\hornetwrap{FGSM_ga};34.5;0.354;6.0;0.071;100.0;0.0;17.3;0.165;4.2;0.05;;;;
cifar10;$\ell_\infty$;C4;CleverHans;\hornetwrap{PGD};98.8;0.912;91.4;0.822;100.0;0.968;99.6;0.645;99.1;0.944;78.4;0.682;66.1;0.58
cifar10;$\ell_\infty$;C4;ART;\hornetwrap{BIM};99.9;0.873;98.9;0.831;100.0;0.967;99.7;0.664;99.7;0.906;75.7;0.664;65.7;0.578
cifar10;$\ell_\infty$;C4;ART;\hornetwrap{PGD};99.8;0.863;97.6;0.822;100.0;0.966;99.7;0.654;99.2;0.896;75.6;0.659;66.2;0.582
cifar10;$\ell_\infty$;C4;Original;\hornetwrap{APGD};99.9;0.87;99.2;0.804;100.0;0.864;100.0;0.962;99.9;0.922;79.9;0.778;64.8;0.62
cifar10;$\ell_\infty$;C4;Torchattacks;\hornetwrap{APGD};99.9;0.87;99.1;0.805;100.0;0.864;100.0;0.962;99.9;0.922;;;;
cifar10;$\ell_\infty$;C4;ART;\hornetwrap{FGM};94.3;0.818;88.5;0.797;99.7;0.951;96.0;0.551;93.8;0.874;45.3;0.341;47.0;0.369
cifar10;$\ell_\infty$;C4;CleverHans;\hornetwrap{FGM};94.3;0.818;88.5;0.797;99.7;0.951;96.0;0.551;93.8;0.874;;;;
cifar10;$\ell_\infty$;C4;DeepRobust;\hornetwrap{FGM};94.3;0.818;88.5;0.797;99.7;0.951;96.0;0.551;93.8;0.874;;;;
cifar10;$\ell_\infty$;C4;Foolbox;\hornetwrap{FGM};94.3;0.818;88.5;0.797;99.7;0.951;96.0;0.551;93.8;0.874;;;;
cifar10;$\ell_\infty$;C4;Torchattacks;\hornetwrap{FGSM};94.3;0.818;88.5;0.797;99.7;0.951;96.0;0.551;93.8;0.874;;;;
cifar10;$\ell_\infty$;C4;AdvLib;\hornetwrap{APGD};99.7;0.859;96.8;0.737;100.0;0.88;100.0;0.983;95.0;0.862;;;;
cifar10;$\ell_\infty$;C4;Foolbox;\hornetwrap{PGD};99.9;0.859;98.1;0.684;100.0;0.967;99.7;0.533;99.2;0.824;;;;
cifar10;$\ell_\infty$;C4;DeepRobust;\hornetwrap{PGD};99.8;0.837;90.6;0.714;100.0;0.951;99.5;0.613;94.6;0.83;;;;
cifar10;$\ell_\infty$;C4;Torchattacks;\hornetwrap{PGD};99.8;0.839;89.4;0.695;100.0;0.952;99.1;0.566;94.4;0.82;;;;
cifar10;$\ell_\infty$;C4;Foolbox;\hornetwrap{BIM};99.8;0.777;96.4;0.716;100.0;0.934;99.9;0.613;99.0;0.824;;;;
cifar10;$\ell_\infty$;C4;AdvLib;\hornetwrap{PGD};99.9;0.813;99.2;0.75;99.9;0.797;100.0;0.863;99.8;0.88;;;;
cifar10;$\ell_\infty$;C4;Original;\hornetwrap{FGSM$_ga-dmi$};98.0;0.579;78.1;0.626;79.0;0.59;99.5;0.357;96.3;0.697;;;;
cifar10;$\ell_\infty$;C4;Original;\hornetwrap{FGSM$_ga-tdmi$};98.3;0.593;77.2;0.579;79.6;0.596;99.5;0.381;96.2;0.711;;;;
cifar10;$\ell_\infty$;C4;Original;\hornetwrap{FGSM_ga};11.6;0.125;10.6;0.127;16.8;0.165;26.3;0.218;4.6;0.054;;;;
cifar10;$\ell_\infty$;C5;ART;\hornetwrap{PGD};100.0;0.956;99.1;0.921;100.0;0.958;100.0;0.93;100.0;0.968;51.8;0.448;49.8;0.437
cifar10;$\ell_\infty$;C5;ART;\hornetwrap{BIM};100.0;0.955;98.7;0.92;100.0;0.956;100.0;0.929;100.0;0.969;51.7;0.445;51.3;0.456
cifar10;$\ell_\infty$;C5;DeepRobust;\hornetwrap{PGD};100.0;0.97;99.7;0.907;100.0;0.945;99.9;0.917;100.0;0.97;;;;
cifar10;$\ell_\infty$;C5;Torchattacks;\hornetwrap{PGD};100.0;0.966;100.0;0.876;100.0;0.943;100.0;0.902;100.0;0.962;;;;
cifar10;$\ell_\infty$;C5;Foolbox;\hornetwrap{BIM};100.0;0.91;99.7;0.912;100.0;0.924;100.0;0.921;100.0;0.923;;;;
cifar10;$\ell_\infty$;C5;CleverHans;\hornetwrap{PGD};100.0;0.936;99.9;0.883;100.0;0.961;100.0;0.85;100.0;0.929;61.2;0.547;55.5;0.495
cifar10;$\ell_\infty$;C5;Foolbox;\hornetwrap{PGD};100.0;0.898;99.2;0.873;100.0;0.965;100.0;0.849;100.0;0.866;;;;
cifar10;$\ell_\infty$;C5;Torchattacks;\hornetwrap{APGD};100.0;0.92;99.4;0.911;100.0;0.805;100.0;0.886;100.0;0.987;;;;
cifar10;$\ell_\infty$;C5;Original;\hornetwrap{APGD};100.0;0.92;99.5;0.911;100.0;0.805;100.0;0.886;100.0;0.987;64.6;0.6;65.7;0.623
cifar10;$\ell_\infty$;C5;AdvLib;\hornetwrap{APGD};100.0;0.905;99.5;0.793;100.0;0.804;100.0;0.805;100.0;0.991;;;;
cifar10;$\ell_\infty$;C5;ART;\hornetwrap{FGM};93.2;0.592;95.6;0.861;99.7;0.925;97.9;0.788;91.0;0.604;44.5;0.353;44.8;0.369
cifar10;$\ell_\infty$;C5;CleverHans;\hornetwrap{FGM};93.2;0.592;95.6;0.861;99.7;0.925;97.9;0.788;91.0;0.604;;;;
cifar10;$\ell_\infty$;C5;DeepRobust;\hornetwrap{FGM};93.2;0.592;95.6;0.861;99.7;0.925;97.9;0.788;91.0;0.604;;;;
cifar10;$\ell_\infty$;C5;Foolbox;\hornetwrap{FGM};93.2;0.592;95.6;0.861;99.7;0.925;97.9;0.788;91.0;0.604;;;;
cifar10;$\ell_\infty$;C5;Torchattacks;\hornetwrap{FGSM};93.2;0.592;95.6;0.861;99.7;0.925;97.9;0.788;91.0;0.604;;;;
cifar10;$\ell_\infty$;C5;AdvLib;\hornetwrap{PGD};100.0;0.799;100.0;0.854;100.0;0.705;100.0;0.791;100.0;0.873;;;;
cifar10;$\ell_\infty$;C5;Original;\hornetwrap{FGSM$_ga-tdmi$};100.0;0.58;88.5;0.777;91.9;0.572;99.9;0.728;99.7;0.676;;;;
cifar10;$\ell_\infty$;C5;Original;\hornetwrap{FGSM$_ga-dmi$};100.0;0.577;87.9;0.775;91.8;0.571;100.0;0.719;99.8;0.674;;;;
cifar10;$\ell_\infty$;C5;Original;\hornetwrap{FGSM_ga};65.5;0.604;16.3;0.186;29.0;0.289;61.5;0.592;67.7;0.646;;;;
cifar10;$\ell_\infty$;E;ART;\hornetwrap{BIM};100.0;0.92;100.0;0.926;100.0;0.972;100.0;0.928;100.0;0.879;99.2;0.919;98.1;0.862
cifar10;$\ell_\infty$;E;ART;\hornetwrap{PGD};100.0;0.92;99.9;0.924;100.0;0.972;100.0;0.929;100.0;0.874;99.0;0.88;97.6;0.852
cifar10;$\ell_\infty$;E;CleverHans;\hornetwrap{PGD};100.0;0.906;99.9;0.893;100.0;0.976;100.0;0.874;100.0;0.956;99.3;0.935;98.6;0.867
cifar10;$\ell_\infty$;E;ART;\hornetwrap{FGM};100.0;0.822;97.2;0.91;100.0;0.972;100.0;0.846;98.8;0.959;94.9;0.767;95.1;0.794
cifar10;$\ell_\infty$;E;CleverHans;\hornetwrap{FGM};100.0;0.822;97.2;0.91;100.0;0.972;100.0;0.846;98.8;0.959;;;;
cifar10;$\ell_\infty$;E;DeepRobust;\hornetwrap{FGM};100.0;0.822;97.2;0.91;100.0;0.972;100.0;0.846;98.8;0.959;;;;
cifar10;$\ell_\infty$;E;Foolbox;\hornetwrap{FGM};100.0;0.822;97.2;0.91;100.0;0.972;100.0;0.846;98.8;0.959;;;;
cifar10;$\ell_\infty$;E;Torchattacks;\hornetwrap{FGSM};100.0;0.822;97.2;0.91;100.0;0.972;100.0;0.846;98.8;0.959;;;;
cifar10;$\ell_\infty$;E;Original;\hornetwrap{APGD};100.0;0.869;100.0;0.91;100.0;0.943;100.0;0.906;100.0;0.88;96.4;0.907;98.4;0.905
cifar10;$\ell_\infty$;E;Torchattacks;\hornetwrap{APGD};100.0;0.869;100.0;0.909;100.0;0.942;100.0;0.907;100.0;0.88;;;;
cifar10;$\ell_\infty$;E;DeepRobust;\hornetwrap{PGD};100.0;0.928;99.9;0.895;100.0;0.967;100.0;0.917;96.8;0.769;;;;
cifar10;$\ell_\infty$;E;Torchattacks;\hornetwrap{PGD};100.0;0.923;100.0;0.864;100.0;0.967;100.0;0.902;96.1;0.745;;;;
cifar10;$\ell_\infty$;E;Foolbox;\hornetwrap{BIM};100.0;0.846;100.0;0.907;100.0;0.946;100.0;0.92;100.0;0.772;;;;
cifar10;$\ell_\infty$;E;AdvLib;\hornetwrap{APGD};100.0;0.845;100.0;0.816;100.0;0.933;100.0;0.839;99.8;0.821;;;;
cifar10;$\ell_\infty$;E;Foolbox;\hornetwrap{PGD};100.0;0.819;100.0;0.852;100.0;0.967;100.0;0.85;99.8;0.745;;;;
cifar10;$\ell_\infty$;E;AdvLib;\hornetwrap{PGD};100.0;0.721;100.0;0.848;100.0;0.941;100.0;0.83;100.0;0.833;;;;
cifar10;$\ell_\infty$;E;Original;\hornetwrap{FGSM$_ga-tdmi$};100.0;0.0;97.6;0.769;99.5;0.0;100.0;0.742;99.9;0.875;;;;
cifar10;$\ell_\infty$;E;Original;\hornetwrap{FGSM$_ga-dmi$};100.0;0.0;98.1;0.826;99.5;0.0;100.0;0.735;100.0;0.768;;;;
cifar10;$\ell_\infty$;E;Original;\hornetwrap{FGSM_ga};69.9;0.59;22.0;0.25;53.2;0.502;65.8;0.631;9.8;0.118;;;;